keys,en,he
greeting,"Hello, traveler! Welcome to our village.","שלום עובר אורח! ברוך הבא לכפרנו."
quest_find_macabi,"Find Macabi in the Central District.","מצא את מכבי במחוז המרכז."
quest_defeat_golem,"Defeat the Negev Bamba Golem.","הבס את גולם הבמבה בנגב."
boon_offer,"Choose a Divine Boon.","בחר ברכה אלוהית."
health,"Health","בריאות"
gold,"Gold","זהב"
inventory,"Inventory","מלאי"
shop,"Shop","חנות"
buy,"Buy","קנה"
quest_complete,"You defeated the Bamba Golem!","הבסת את גולם הבמבה!"
boss_health,"Bamba Golem","גולם הבמבה"
controls_hint,"WASD/Arrows: Move | Shift/Space: Dash | J/Click: Attack | E/Enter: Interact | B: Buy Potion | L: Lang","WASD/חצים: תזוזה | Shift/Space: דאש | J/קליק: תקיפה | E/Enter: דיבור | B: קניית שיקוי | L: שפה"
potion_bought,"Bought Potion!","קנית שיקוי בריאות!"
no_gold,"Not enough gold!","אין מספיק זהב!"
full_health,"Already at full health!","מד הבריאות כבר מלא!"
no_active_quests,"No active quests","אין משימות פעילות"
dan_greeting_1,"Welcome, traveler! The ancient Bamba Golem has awakened in the Negev. Find Macabi in the Central District to open the way.","ברוך הבא, מטייל! גולם הבמבה העתיק התעורר בנגב. מצא את מכבי במחוז המרכז כדי לפתוח את הדרך."
dan_greeting_2,"Go find Macabi in the Central District! He knows how to unlock the desert path.","לך למצוא את מכבי במחוז המרכז! הוא יודע איך לפתוח את הנתיב למדבר."
dan_greeting_3,"The way is open! Proceed to the Negev Desert and defeat the Bamba Golem.","הדרך פתוחה! התקדם למדבר הנגב והבס את גולם הבמבה."
dan_greeting_4,"You have saved our lands from the ancient beast! The Milk and Honey lands are at peace once more.","הצלת את ארצנו מהמפלצת העתיקה! ארץ זבת חלב ודבש שוב שקטה."
macabi_greeting,"Ah! Elder Dan sent you? Very well, I will unlock the path to the Negev Desert. Prepare yourself for the Golem!","אה! זקן העדה דן שלח אותך? מצוין, אפתח את הנתיב למדבר הנגב. הכן את עצמך לגולם!"
macabi_active_boss,"Defeat the Bamba Golem in the Negev Desert! You can reach the desert by traveling east (right).","הבס את גולם הבמבה במדבר הנגב! תוכל להגיע למדבר על ידי נסיעה מזרחה (ימינה)."
macabi_done,"You have defeated the Golem! Unbelievable strength. Peace has returned to our land!","הבסת את הגולם! עוצמה בלתי תיאמן. השלום חזר למחוז!"
gali_greeting_1,"Hello! Use WASD/Arrows to Move, Shift/Space to Dash, and J/Click to Attack. E/Enter Interacts. Here is 50 gold for a health potion!","שלום! WASD/חצים לתזוזה, Shift/Space לדאש, ו-J/קליק לתקיפה. E/Enter לדיבור. הנה 50 זהב לשיקוי בריאות!"
gali_greeting_2,"Be careful in the Negev! Dash to gain temporary invincibility (i-frames) and dodge enemy attacks!","היזהר בנגב! השתמש בדאש כדי לקבל חסינות זמנית (i-frames) ולהתחמק מתקיפות!"
menu_title,"Milk & Honey Tales","עלילות חלב ודבש"
new_game,"New Game","משחק חדש"
continue_game,"Continue","המשך"
settings,"Settings","הגדרות"
exit_game,"Exit","יציאה"
graphics_hdr,"Enable HDR Glow","אפשר אפקט זוהר (HDR)"
controls_title,"Controls Reference","מערך מקשים"
back,"Back","חזור"
no_save,"No Save Found!","לא נמצאה שמירה!"
controls_move,"Move: WASD / Arrow Keys","תנועה: WASD / מקשי חצים"
controls_dash,"Dash: Space / Shift","דאש: Space / Shift"
controls_attack,"Strike: J / Left-Click","תקיפה: J / קליק שמאלי"
controls_interact,"Interact: E / Enter","דיבור: E / Enter"
lang_toggle,"Language: EN/HE","שפה: אנגלית/עברית"
graphics_section,"Graphics Settings","הגדרות גרפיקה"
fullscreen,"Fullscreen","מסך מלא"
save_section,"Save Slots (Pick Save)","חריצי שמירה"
press_key,"Press any key...","לחץ על מקש כלשהו..."
act_move_up,"Move Up","עלה למעלה"
act_move_down,"Move Down","רד למטה"
act_move_left,"Move Left","זוז שמאלה"
act_move_right,"Move Right","זוז ימינה"
act_dash,"Dash","דאש"
act_attack,"Strike","תקיפה"
act_interact,"Interact","דיבור"
